Geoffrey Landis
Georg Ebers
George Ade
George Affinger
George Barham
George Berkeley
George Betts
George Birmingham
George Borrow
George Bryce
George Byron
George Cable
George Carlin
George Chester
George Colman
George Crabbe
George Cupples
George Curtis
George Durston
George Eggleston
George Eliot
George England
George English
George Fenn
George Ferris
George Foote
George Forbes
George Fullerton
George Gibbs
George Gilfillan
George Gissing
George Grey
George Griffith
George Grinnell
George Grossmith
George James
George Lathrop
George Lawrence
George Lorimer
George MacDonald
George Martin
George Maurier
George McCutcheon
George Meredith
George Merriam
George Moore
George Ogden
George Orwell
George Peck
George Putnam
George Rathborne
George Rawlinson
George Romanes
George Russell
George Saintsbury
George Sala
George Sand
George Santayana
George Schaick
George Shaw
George Shedd
George Sherley
George Smith
George Stewart
George Thompson
George Townsend
George Vaizey
George Warren
George Weiss
George Woodberry
George Wrong
George Zebrowski
Georgie Sheldon
Gerald Breckenridge
Gerald Durrell
Gerald Lee
Gerald Vance
Geraldine Bonner
Geraldine Brooks
Geraldine Mockler
Gerhart Hauptmann
Gertrude Atherton
Gertrude Brownell
Gertrude Page
Gertrude Stein
Giacomo Casanova
Gideon Wurdz
Gilbert Parker
Gilbert White
Giles Foden
Giles Strachey
Gillian Flynn
Gillian Summers
Gina Maxwell
Giordano Bruno
Giovanni Boccaccio
Glen Cook
Glenn Cooper
Goldwin Smith
Gordon Casserly
Gordon Dickson
Gordon Eklund
Gordon Stables
Gore Vidal
Gotthold Lessing
Gould Baring
Gouverneur Morris
Grace Aguilar
Grace Greenwood
Grace Hill
Grace Lutz
Grace Richmond
Grace White
Graeme Simsion
Graham Brown
Graham Greene
Graham Masterton
Grant Allen
Grant Naylor
Green Peyton
Greg Bear
Greg Costikyan
Greg Egan
Greg Iles
Greg Keyes
Greg Kostikyan
Greg Mortenson
Greg Stolze
Gregory Benford
Gregory Maguire
Gregory McDonald
Grenville Kleiser
Grimm Brothers
Grimms Tales
Guglielmo Ferrero
Gulielma Zollinger
Gustave Flaubert
Guy Boothby
Guy Carryl
Guy Kay
Guy Maupassant
Guy Smith
Gwyneth Jones
Gyles Brandreth
Hal Clement
Hal Evarts
Hal Wells
Hall Caine
Hamilton Mabie
Hamlin Garland
Hampton Sides
Hanford Gordon
Hannah More
Hans Andersen
Harl Vincent
Harlan Coben
Harlan Ellison
Harlan Halsey
Harold Avery
Harold Begbie
Harold Bindloss
Harold Fairbanks
Harold Frederic
Harold Goodwin
Harold MacGrath
Harold Sherman
Harold Wright
Harper Lee
Harriet Caswell
Harriet Comstock
Harriet Martineau
Harriet Myrtle
Harriet Stowe
Harriette Brower
Harry Bates
Harry Castlemon
Harry Coghill
Harry Collingwood
Harry Furniss
Harry Harrison
Harry Houdini
Harry Lauder
Harry Turtledove
Harry Wilson
Harry Windt
Hartley Withers
Haruki Murakami
Havelock Ellis
Hayden Carruth
Hazel Gaynor
Heather Graham
Hector Malot
Hector Munro
Heinrich Zschokke
Helen Campbell
Helen Fielding
Helen Jackson
Helen Keller
Helen Long
Helen Orton
Helen Rappaport
Helen Winslow
Helene Tursten
Heman Chaplin
Hendrik Conscience
Hendrik Loon
Henning Mankell
Henri Barbusse
Henri Bergson
Henrik Ibsen
Henry Adams
Henry Baird
Henry Beers
Henry Beston
Henry Boynton
Henry Carlton
Henry Drummond
Henry Dyke
Henry Fielding
Henry Ford
Henry Fuller
Henry Gibson
Henry Harland
Henry Harrison
Henry Hasse
Henry Herbert
Henry Hunt
Henry James
Henry Jones
Henry Kingsley
Henry Knibbs
Henry Krehbiel
Henry Kuttner
Henry Lawson
Henry Lodge
Henry Longfellow
Henry MacKenzie
Henry Merriman
Henry Miller
Henry Nevinson
Henry Newbolt
Henry Phillips
Henry Richardson
Henry Schoolcraft
Henry Shute
Henry Slesar
Henry Thoreau
Henry Warren
Henry Watterson
Henry Webster
Henry Wheatley
Henry Wood
Henry Yi
Henryk Sienkiewicz
Herbert Giles
Herbert Hayens
Herbert Jenkins
Herbert Quick
Herbert Spencer
Herbert Strang
Herman Melville
Hermann Hagedorn
Hermann Hesse
Hermann Sudermann
Hesba Stretton
Hester Piozzi
Hezekiah Butterworth
Hilaire Belloc
Hilary Mantel
Hilda Doolittle
Hildegard Frey
Hjalmar Boyesen
Holly Black
Holly Lisle
Holman Day
Homer Flint
Homer Greene
Homer Randall
Honore Balzac
Honore Morrow
Hope Solo
Hopkins Moorhouse
Horace Fyfe
Horace Vachell
Horace Walpole
Horatio Alger
Howard Chapelle
Howard Garis
Howard Hendrix
Howard Jacobson
Howard Marks
Howard Pyle
Howard Waldrop
Hugh Dafydd
Hugh Lofting
Hugh McHugh
Hugh Miller
Hugh Walpole
Hugo Munsterberg
Hulbert Footner
Humphry Ward
Hunter Thompson
Hutchins Hapgood
Iain Banks
Ian Creasey
Ian Fleming
Ian Hay
Ian Irvine
Ian MacLaren
Ian MacLeod
Ian McDonald
Ian McEwan
Ian Prater
Ian Watson
Ida Wells-Barnett
Ignatius Donnelly
Ilona Andrews
Immanuel Kant
Inez Gillmore
Irene Benson
Irene Radford
Iris Johansen
Iris Murdoch
Irvin Cobb
Irvine Welsh
Irving Bacheller
Irving Cox
Irving Lande
Isaac Asimov
Isaac Disraeli
Isaac Haldeman
Isaac Watts
Isabel Byrum
Isabel Mackay
Isabel Ostrander
Isabella Alden
Isabella Bird
